library,r1_file,r2_file,lab,cruise_id,sample_type
e04103-A,e04103-A_S97_L001_R1_001.fastq.gz,e04103-A_S97_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04103-B,e04103-B_S193_L001_R1_001.fastq.gz,e04103-B_S193_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04103-C,e04103-C_S289_L001_R1_001.fastq.gz,e04103-C_S289_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04104-A,e04104-A_S98_L001_R1_001.fastq.gz,e04104-A_S98_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04104-B,e04104-B_S194_L001_R1_001.fastq.gz,e04104-B_S194_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04104-C,e04104-C_S290_L001_R1_001.fastq.gz,e04104-C_S290_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04105-A,e04105-A_S99_L001_R1_001.fastq.gz,e04105-A_S99_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04105-B,e04105-B_S195_L001_R1_001.fastq.gz,e04105-B_S195_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04105-C,e04105-C_S291_L001_R1_001.fastq.gz,e04105-C_S291_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04106-A,e04106-A_S100_L001_R1_001.fastq.gz,e04106-A_S100_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04106-B,e04106-B_S196_L001_R1_001.fastq.gz,e04106-B_S196_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04106-C,e04106-C_S292_L001_R1_001.fastq.gz,e04106-C_S292_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04107-A,e04107-A_S101_L001_R1_001.fastq.gz,e04107-A_S101_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04107-B,e04107-B_S197_L001_R1_001.fastq.gz,e04107-B_S197_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04107-C,e04107-C_S293_L001_R1_001.fastq.gz,e04107-C_S293_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04108-A,e04108-A_S102_L001_R1_001.fastq.gz,e04108-A_S102_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04108-B,e04108-B_S198_L001_R1_001.fastq.gz,e04108-B_S198_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04108-C,e04108-C_S294_L001_R1_001.fastq.gz,e04108-C_S294_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04109-A,e04109-A_S103_L001_R1_001.fastq.gz,e04109-A_S103_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04109-B,e04109-B_S199_L001_R1_001.fastq.gz,e04109-B_S199_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04109-C,e04109-C_S295_L001_R1_001.fastq.gz,e04109-C_S295_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04110-A,e04110-A_S104_L001_R1_001.fastq.gz,e04110-A_S104_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04110-B,e04110-B_S200_L001_R1_001.fastq.gz,e04110-B_S200_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04110-C,e04110-C_S296_L001_R1_001.fastq.gz,e04110-C_S296_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04111-A,e04111-A_S105_L001_R1_001.fastq.gz,e04111-A_S105_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04111-B,e04111-B_S201_L001_R1_001.fastq.gz,e04111-B_S201_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04111-C,e04111-C_S297_L001_R1_001.fastq.gz,e04111-C_S297_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04112-A,e04112-A_S106_L001_R1_001.fastq.gz,e04112-A_S106_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04112-B,e04112-B_S202_L001_R1_001.fastq.gz,e04112-B_S202_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04112-C,e04112-C_S298_L001_R1_001.fastq.gz,e04112-C_S298_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04113-A,e04113-A_S107_L001_R1_001.fastq.gz,e04113-A_S107_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04113-B,e04113-B_S203_L001_R1_001.fastq.gz,e04113-B_S203_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04113-C,e04113-C_S299_L001_R1_001.fastq.gz,e04113-C_S299_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04114-A,e04114-A_S108_L001_R1_001.fastq.gz,e04114-A_S108_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04114-B,e04114-B_S204_L001_R1_001.fastq.gz,e04114-B_S204_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04114-C,e04114-C_S300_L001_R1_001.fastq.gz,e04114-C_S300_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04115-A,e04115-A_S109_L001_R1_001.fastq.gz,e04115-A_S109_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04115-B,e04115-B_S205_L001_R1_001.fastq.gz,e04115-B_S205_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04115-C,e04115-C_S301_L001_R1_001.fastq.gz,e04115-C_S301_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04116-A,e04116-A_S110_L001_R1_001.fastq.gz,e04116-A_S110_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04116-B,e04116-B_S206_L001_R1_001.fastq.gz,e04116-B_S206_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04116-C,e04116-C_S302_L001_R1_001.fastq.gz,e04116-C_S302_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04117-A,e04117-A_S111_L001_R1_001.fastq.gz,e04117-A_S111_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04117-B,e04117-B_S207_L001_R1_001.fastq.gz,e04117-B_S207_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04117-C,e04117-C_S303_L001_R1_001.fastq.gz,e04117-C_S303_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04118-A,e04118-A_S112_L001_R1_001.fastq.gz,e04118-A_S112_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04118-B,e04118-B_S208_L001_R1_001.fastq.gz,e04118-B_S208_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04118-C,e04118-C_S304_L001_R1_001.fastq.gz,e04118-C_S304_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04119-A,e04119-A_S113_L001_R1_001.fastq.gz,e04119-A_S113_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04119-B,e04119-B_S209_L001_R1_001.fastq.gz,e04119-B_S209_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04119-C,e04119-C_S305_L001_R1_001.fastq.gz,e04119-C_S305_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04120-A,e04120-A_S114_L001_R1_001.fastq.gz,e04120-A_S114_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04120-B,e04120-B_S210_L001_R1_001.fastq.gz,e04120-B_S210_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04120-C,e04120-C_S306_L001_R1_001.fastq.gz,e04120-C_S306_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04121-A,e04121-A_S115_L001_R1_001.fastq.gz,e04121-A_S115_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04121-B,e04121-B_S211_L001_R1_001.fastq.gz,e04121-B_S211_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04121-C,e04121-C_S307_L001_R1_001.fastq.gz,e04121-C_S307_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04122-A,e04122-A_S116_L001_R1_001.fastq.gz,e04122-A_S116_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04122-B,e04122-B_S212_L001_R1_001.fastq.gz,e04122-B_S212_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04122-C,e04122-C_S308_L001_R1_001.fastq.gz,e04122-C_S308_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04123-A,e04123-A_S117_L001_R1_001.fastq.gz,e04123-A_S117_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04123-B,e04123-B_S213_L001_R1_001.fastq.gz,e04123-B_S213_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04123-C,e04123-C_S309_L001_R1_001.fastq.gz,e04123-C_S309_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04124-A,e04124-A_S118_L001_R1_001.fastq.gz,e04124-A_S118_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04124-B,e04124-B_S214_L001_R1_001.fastq.gz,e04124-B_S214_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04124-C,e04124-C_S310_L001_R1_001.fastq.gz,e04124-C_S310_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04125-A,e04125-A_S119_L001_R1_001.fastq.gz,e04125-A_S119_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04125-B,e04125-B_S215_L001_R1_001.fastq.gz,e04125-B_S215_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04125-C,e04125-C_S311_L001_R1_001.fastq.gz,e04125-C_S311_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04126-A,e04126-A_S120_L001_R1_001.fastq.gz,e04126-A_S120_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04126-B,e04126-B_S216_L001_R1_001.fastq.gz,e04126-B_S216_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04126-C,e04126-C_S312_L001_R1_001.fastq.gz,e04126-C_S312_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04127-A,e04127-A_S121_L001_R1_001.fastq.gz,e04127-A_S121_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04127-B,e04127-B_S217_L001_R1_001.fastq.gz,e04127-B_S217_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04127-C,e04127-C_S313_L001_R1_001.fastq.gz,e04127-C_S313_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04128-A,e04128-A_S122_L001_R1_001.fastq.gz,e04128-A_S122_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04128-B,e04128-B_S218_L001_R1_001.fastq.gz,e04128-B_S218_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04128-C,e04128-C_S314_L001_R1_001.fastq.gz,e04128-C_S314_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04129-A,e04129-A_S123_L001_R1_001.fastq.gz,e04129-A_S123_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04129-B,e04129-B_S219_L001_R1_001.fastq.gz,e04129-B_S219_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04129-C,e04129-C_S315_L001_R1_001.fastq.gz,e04129-C_S315_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04130-A,e04130-A_S124_L001_R1_001.fastq.gz,e04130-A_S124_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04130-B,e04130-B_S220_L001_R1_001.fastq.gz,e04130-B_S220_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04130-C,e04130-C_S316_L001_R1_001.fastq.gz,e04130-C_S316_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04131-A,e04131-A_S125_L001_R1_001.fastq.gz,e04131-A_S125_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04131-B,e04131-B_S221_L001_R1_001.fastq.gz,e04131-B_S221_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04131-C,e04131-C_S317_L001_R1_001.fastq.gz,e04131-C_S317_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04132-A,e04132-A_S126_L001_R1_001.fastq.gz,e04132-A_S126_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04132-B,e04132-B_S222_L001_R1_001.fastq.gz,e04132-B_S222_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04132-C,e04132-C_S318_L001_R1_001.fastq.gz,e04132-C_S318_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04133-A,e04133-A_S127_L001_R1_001.fastq.gz,e04133-A_S127_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04133-B,e04133-B_S223_L001_R1_001.fastq.gz,e04133-B_S223_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04133-C,e04133-C_S319_L001_R1_001.fastq.gz,e04133-C_S319_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04134-A,e04134-A_S128_L001_R1_001.fastq.gz,e04134-A_S128_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04134-B,e04134-B_S224_L001_R1_001.fastq.gz,e04134-B_S224_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04134-C,e04134-C_S320_L001_R1_001.fastq.gz,e04134-C_S320_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
e04135-A,e04135-A_S129_L001_R1_001.fastq.gz,e04135-A_S129_L001_R2_001.fastq.gz,ABL,SKQ2023,sample
